chembl_id,pref_name,synonyms,smiles,inchi,inchi_key,molecular_formula,molecular_weight,alogp,logd,hba,hbd,psa,rtb,ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,cx_logp,cx_logd,molecular_species,first_approval,oral_bioavailability,bioavailability_score,permeability,indication_class,therapeutic_areas,natural_product,polymer_flag,molecule_type,max_phase,withdrawn_flag,withdrawn_reason,withdrawn_year,withdrawn_country
CHEMBL2,PRAZOSIN,CP-122991; Prazosin; Prazosin; Prazosin; Prazosin; Prazosin; Prazosina; Prazosine,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)",IENZQIKPVFGBNW-UHFFFAOYSA-N,C19H21N5O4,383.41,1.78,,8,1,106.95,4,0,3,28,0.73,,,,1976,True,,,nephrolithiasis; nicotine dependence; Neurogenic bladder; hypertension; alcohol dependence; anxiety; methamphetamine dependence; alcohol withdrawal; COVID-19; post-traumatic stress disorder,"""Kidney Calculi; Amphetamine-Related Disorders; Hypertension; Anxiety; Stress Disorders, Post-Traumatic; Urinary Bladder, Neurogenic; Substance Withdrawal Syndrome; Severe Acute Respiratory Syndrome; Tobacco Use Disorder; Alcoholism""",1,0,Small molecule,4.0,False,,,
CHEMBL3,NICOTINE,Habitrol; Nicabate; Nicoderm cq; Nicopass; Nicopatch; Nicorette invisi; Nicotine; Nicotine; Nicotine; Nicotine,CN1CCC[C@H]1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,C10H14N2,162.24,1.85,,2,0,16.13,1,0,1,12,0.63,,,,1984,True,,,memory impairment; sarcoidosis; chronic obstructive pulmonary disease; Parkinson disease; attention deficit hyperactivity disorder; lung cancer; aging; carcinoma; cocaine dependence; heart failure; depressive disorder; smoking cessation; post operative nausea and vomiting; COVID-19; schizophrenia; severe acute respiratory syndrome; cannabis dependence; Cognitive impairment; alcohol drinking; drug dependence; cervical cancer; sarcoma; smoking behavior; nicotine dependence; pulmonary sarcoidosis; injury,"""Schizophrenia; Cognitive Dysfunction; Parkinson Disease; Sarcoma; Carcinoma; Severe Acute Respiratory Syndrome; Marijuana Abuse; Wounds and Injuries; Tobacco Use Disorder; Sarcoidosis, Pulmonary; Postoperative Nausea and Vomiting; Alcohol Drinking; Depressive Disorder; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Attention Deficit Disorder with Hyperactivity; Substance-Related Disorders; Sarcoidosis; Cocaine-Related Disorders; Heart Failure; Aging; Smoking Cessation; Memory Disorders; Smoking; Uterine Cervical Neoplasms""",1,0,Small molecule,4.0,False,,,
CHEMBL4,OFLOXACIN,DL-8280; Exocin; Floxin; Floxin otic; HOE 280; HOE-280; J01MA01; NSC-727071; NSC-758178; Ocuflox,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N,C18H20FN3O4,361.37,1.54,,6,1,75.01,2,0,2,26,0.87,,,,1990,True,,,chronic bronchitis; glaucoma; acne; hearing loss; osteomyelitis; bacterial conjunctivitis; bacterial disease; open-angle glaucoma; Pelvic Inflammatory Disease; urinary tract infection; Otitis media; keratitis; otitis externa; diabetic foot; infection; eye infection; ocular hypertension; infectious otitis media,"""Bacterial Infections; Eye Infections; Hearing Loss; Glaucoma; Glaucoma, Open-Angle; Otitis Media; Diabetic Foot; Bronchitis, Chronic; Ocular Hypertension; Otitis Externa; Pelvic Inflammatory Disease; Osteomyelitis; Acne Vulgaris; Infections; Urinary Tract Infections; Corneal Ulcer; Conjunctivitis, Bacterial""",0,0,Small molecule,4.0,False,,,
CHEMBL5,NALIDIXIC ACID,Acide nalidixique; Acido nalidixico; Mictral; Nalidixane; Nalidixate; Nalidixic acid; Nalidixic acid; Nalidixic acid; Nalidixic acid; Nalidixic acid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)",MHWLWQUZZRMNGJ-UHFFFAOYSA-N,C12H12N2O3,232.24,1.42,,4,1,72.19,2,0,2,17,0.85,,,,1964,True,,,bacterial disease; osteomyelitis,Bacterial Infections; Osteomyelitis,1,0,Small molecule,4.0,False,,,
CHEMBL6,INDOMETHACIN,Aconip; Artracin; Artracin sr; Berlind 75 ret; Durametacin; Flexin-25 continus; Flexin-50 continus; Flexin-75 continus; Imbrilon; Indocid-r,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",CGIGDMFJXJATDK-UHFFFAOYSA-N,C19H16ClNO4,357.79,3.93,,4,1,68.53,4,0,3,25,0.77,,,,1965,True,,,acute pancreatitis; metastatic prostate cancer; ankylosing spondylitis; breast cancer; head and neck squamous cell carcinoma; rheumatoid arthritis; osteoarthritis; ulcerative colitis; Myalgia; gout; prostate cancer; squamous cell intraepithelial neoplasia; Fish-eye disease; premature birth; orthostatic hypotension; COVID-19; prostate adenocarcinoma; Alzheimer disease; cutaneous melanoma; inflammation; chronic pancreatitis; oral squamous cell carcinoma; hemorrhage; Patent ductus arteriosus; spondylitis; Arthralgia; eye inflammation; rheumatic disease; toothache; asthma; pain; Langerhans Cell Histiocytosis; cardiovascular disease; pancreatitis; renal colic,"""Squamous Intraepithelial Lesions; Alzheimer Disease; Spondylitis; Severe Acute Respiratory Syndrome; Squamous Cell Carcinoma of Head and Neck; Premature Birth; Acute Pain; Hypotension, Orthostatic; Inflammation; Melanoma; Myalgia; Osteoarthritis; Cardiovascular Diseases; Renal Colic; Breast Neoplasms; Colitis, Ulcerative; Ductus Arteriosus, Patent; Spondylitis, Ankylosing; Rheumatic Diseases; Arthritis, Gouty; Prostatic Neoplasms, Castration-Resistant; Prostatic Neoplasms; Eye Diseases; Arthralgia; Pancreatitis, Chronic; Asthma; Pancreatitis; Hemorrhage; Carcinoma, Squamous Cell; Arthritis, Rheumatoid; Toothache; Lecithin Cholesterol Acyltransferase Deficiency; Histiocytosis, Langerhans-Cell""",1,0,Small molecule,4.0,False,,,
CHEMBL403,SULBACTAM,CP-458992; NSC-759886; Sulbactam; Sulbactam; Sulbactam; Sulbactam; Sulbactam; Sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,"InChI=1S/C8H11NO5S/c1-8(2)6(7(11)12)9-4(10)3-5(9)15(8,13)14/h5-6H,3H2,1-2H3,(H,11,12)/t5-,6+/m1/s1",FKENQMMABCRJMK-RITPCOANSA-N,C8H11NO5S,233.24,-0.79,,4,1,91.75,1,0,0,15,0.60,,,,1986,False,,,Cleft palate; osteomyelitis; bacterial disease; urinary tract infection; infection; chorioamnionitis,Bacterial Infections; Cleft Palate; Osteomyelitis; Chorioamnionitis; Infections; Urinary Tract Infections,1,0,Small molecule,4.0,False,,,
CHEMBL404,TAZOBACTAM,"""CL 298,741; CL-298741; NSC-759887; Tazobactam; Tazobactam; Tazobactam; Tazobactam; Tazobactam; Tazobactam; Tazobactam""",C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,"InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1",LPQZKKCYTLCDGQ-WEDXCCLWSA-N,C10H12N4O5S,300.30,-1.52,,7,1,122.46,3,0,1,20,0.67,,,,1993,False,,,"""Pseudomonas infection; bacterial disease; Otitis media; kidney disease; appendicitis; septic shock; osteomyelitis; influenza; Cholecystitis, Acute; infectious disease; hematopoietic and lymphoid cell neoplasm; infection; COVID-19; Enterobacteriaceae Infections; bacterial pneumonia; lung disease; urinary tract infection; graft versus host disease; ventilator-associated pneumonia; abscess; pyelonephritis; pneumonia; diabetic foot; Sepsis""","""Shock, Septic; Pneumonia, Ventilator-Associated; Lung Diseases; Otitis Media; Severe Acute Respiratory Syndrome; Hematologic Neoplasms; Abscess; Communicable Diseases; Kidney Diseases; Pyelonephritis; Diabetic Foot; Cholecystitis, Acute; Influenza, Human; Infections; Urinary Tract Infections; Enterobacteriaceae Infections; Graft vs Host Disease; Bacterial Infections; Pneumonia; Pseudomonas Infections; Osteomyelitis; Pneumonia, Bacterial; Sepsis; Appendicitis""",1,0,Small molecule,4.0,False,,,
CHEMBL8,CIPROFLOXACIN,BAY O 9867 FREE BASE; BAY-O-9867 FREE BASE; BAY Q 3939; BAY-Q-3939; BAYQ3939; Cetraxal; Cipro; Ciprofloxacin; Ciprofloxacin; Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N,C17H18FN3O3,331.35,1.58,,5,2,74.57,3,0,2,24,0.89,,,,1987,True,,,"""corneal ulcer; Crohn's disease; Pseudomonas infection; chronic obstructive pulmonary disease; gonorrhea; cystitis; hepatitis C virus infection; neoplasm; bacterial disease; breast cancer; Otitis media; gastrointestinal disease; cystic fibrosis; rheumatoid arthritis; Yersinia pestis infectious disease; endophthalmitis; Hypertriglyceridemia; erectile dysfunction; lymphoma; prostate cancer; rhinoscleroma; hearing loss; osteomyelitis; infectious disease; Bronchiectasis; Fever; infection; chronic bronchitis; chronic lymphocytic leukemia; peritonitis; typhoid fever; pancreatic ductal adenocarcinoma; pancreatic carcinoma; anthrax infection; acute myeloid leukemia; alcoholic liver cirrhosis; Periapical Periodontitis; lung disease; neutropenia; urinary tract infection; otitis externa; urolithiasis; cataract; sinusitis; infectious otitis media; nephrolithiasis; urinary bladder cancer; Hepatitis, Alcoholic; amyotrophic lateral sclerosis; shigellosis; gastroenteritis; autoimmune thrombocytopenic purpura; Liver abscess; pyelonephritis; prostatitis; pneumonia; Disorder of lipid metabolism; diabetic foot; Sepsis; eye infection; Diarrhea""","""Kidney Calculi; Plague; Eye Infections; Pancreatic Neoplasms; Leukemia, Myeloid, Acute; Liver Cirrhosis, Alcoholic; Crohn Disease; Otitis Media; Lung Diseases; Liver Abscess; Carcinoma, Pancreatic Ductal; Anthrax; Rhinoscleroma; Otitis Externa; Gonorrhea; Lipid Metabolism Disorders; Corneal Ulcer; Hypertriglyceridemia; Communicable Diseases; Intraabdominal Infections; Hearing Loss; Pyelonephritis; Sinusitis; Bronchitis, Chronic; Diabetic Foot; Breast Neoplasms; Pulmonary Disease, Chronic Obstructive; Cystic Fibrosis; Endophthalmitis; Dysentery, Bacillary; Infections; Urinary Tract Infections; Bronchiectasis; Leukemia, Lymphocytic, Chronic, B-Cell; Peritonitis; Neoplasms; Fever; Cystitis; Urolithiasis; Bacterial Infections; Periapical Periodontitis; Lymphoma; Erectile Dysfunction; Prostatic Neoplasms, Castration-Resistant; Gastroenteritis; Pneumonia; Purpura, Thrombocytopenic, Idiopathic; Typhoid Fever; Neutropenia; Digestive System Diseases; Urinary Bladder Neoplasms; Hepatitis, Alcoholic; Pseudomonas Infections; Cataract; Prostatitis; Amyotrophic Lateral Sclerosis; Osteomyelitis; Arthritis, Rheumatoid; Sepsis; Hepatitis C; Diarrhea""",0,0,Small molecule,4.0,False,,,
CHEMBL9,NORFLOXACIN,Baccidal; Chibroxin; MK-366; Norfloxacin; Norfloxacin; Norfloxacin; Norfloxacin; Norfloxacin; Norfloxacin; Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,"InChI=1S/C16H18FN3O3/c1-2-19-9-11(16(22)23)15(21)10-7-12(17)14(8-13(10)19)20-5-3-18-4-6-20/h7-9,18H,2-6H2,1H3,(H,22,23)",OGJPXUAPXNRGGI-UHFFFAOYSA-N,C16H18FN3O3,319.34,1.27,,5,2,74.57,3,0,2,23,0.89,,,,1986,True,,,cirrhosis of liver; osteomyelitis; cystitis; bacterial disease; Hermansky-Pudlak syndrome; eye infection; esophageal varices; peritonitis,"""Bacterial Infections; Eye Infections; Esophageal and Gastric Varices; Cystitis, Hemorrhagic; Liver Cirrhosis; Hermanski-Pudlak Syndrome; Osteomyelitis; Peritonitis""",0,0,Small molecule,4.0,False,,,
CHEMBL405,AMPHETAMINE,"""Adzenys er; Adzenys xr-odt; Amfetamin; Amfetamine; Amfetamine; Amfetamine; Amphetamine; Amphetamine; Amphetamine; Amphetamine, dl-""",CC(N)Cc1ccccc1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",KWTSXDURSIMDCE-UHFFFAOYSA-N,C9H13N,135.21,1.58,,1,1,26.02,2,0,1,10,0.65,,,,1955,True,,,cocaine dependence; cognition; attention deficit hyperactivity disorder,Attention Deficit Disorder with Hyperactivity; Cognition; Cocaine-Related Disorders,1,0,Small molecule,4.0,False,,,
